Radius,Qext,Qsca,Qabs,Gsca
0.040000,0.128331,0.015366,0.112965,0.049535
0.041000,0.133342,0.016951,0.116391,0.052039
0.042000,0.138509,0.018653,0.119856,0.054607
0.043000,0.143837,0.020478,0.123358,0.057238
0.044000,0.149331,0.022431,0.126899,0.059934
0.045000,0.154996,0.024517,0.130479,0.062695
0.046000,0.160838,0.026742,0.134097,0.065521
0.047000,0.166862,0.029110,0.137752,0.068413
0.048000,0.173072,0.031626,0.141446,0.071372
0.049000,0.179474,0.034296,0.145178,0.074398
0.050000,0.186072,0.037126,0.148946,0.077493
0.051000,0.192871,0.040119,0.152752,0.080656
0.052000,0.199874,0.043280,0.156594,0.083888
0.053000,0.207087,0.046615,0.160472,0.087192
0.054000,0.214514,0.050128,0.164386,0.090567
0.055000,0.222157,0.053823,0.168334,0.094014
0.056000,0.230021,0.057705,0.172316,0.097536
0.057000,0.238108,0.061777,0.176331,0.101132
0.058000,0.246422,0.066044,0.180378,0.104804
0.059000,0.254966,0.070508,0.184457,0.108553
0.060000,0.263741,0.075174,0.188566,0.112382
0.061000,0.272749,0.080044,0.192705,0.116290
0.062000,0.281992,0.085120,0.196872,0.120279
0.063000,0.291472,0.090405,0.201067,0.124352
0.064000,0.301189,0.095901,0.205287,0.128509
0.065000,0.311143,0.101610,0.209533,0.132753
0.066000,0.321335,0.107532,0.213803,0.137084
0.067000,0.331764,0.113668,0.218096,0.141505
0.068000,0.342430,0.120019,0.222411,0.146018
0.069000,0.353330,0.126585,0.226746,0.150625
0.070000,0.364465,0.133364,0.231101,0.155327
0.071000,0.375831,0.140356,0.235474,0.160126
0.072000,0.387425,0.147560,0.239865,0.165025
0.073000,0.399247,0.154973,0.244273,0.170025
0.074000,0.411290,0.162593,0.248697,0.175129
0.075000,0.423554,0.170418,0.253136,0.180339
0.076000,0.436032,0.178443,0.257589,0.185657
0.077000,0.448722,0.186666,0.262056,0.191085
0.078000,0.461619,0.195082,0.266536,0.196625
0.079000,0.474717,0.203687,0.271030,0.202279
0.080000,0.488012,0.212476,0.275536,0.208049
0.081000,0.501498,0.221443,0.280055,0.213938
0.082000,0.515171,0.230584,0.284588,0.219948
0.083000,0.529025,0.239892,0.289133,0.226079
0.084000,0.543054,0.249362,0.293692,0.232334
0.085000,0.557254,0.258988,0.298266,0.238715
0.086000,0.571618,0.268763,0.302855,0.245222
0.087000,0.586143,0.278682,0.307460,0.251858
0.088000,0.600822,0.288738,0.312084,0.258622
0.089000,0.615651,0.298926,0.316726,0.265517
0.090000,0.630626,0.309238,0.321388,0.272542
0.091000,0.645743,0.319670,0.326073,0.279697
0.092000,0.660999,0.330216,0.330783,0.286983
0.093000,0.676389,0.340870,0.335519,0.294398
0.094000,0.691913,0.351629,0.340284,0.301942
0.095000,0.707567,0.362487,0.345080,0.309612
0.096000,0.723351,0.373441,0.349910,0.317407
0.097000,0.739264,0.384488,0.354777,0.325324
0.098000,0.755306,0.395624,0.359682,0.333360
0.099000,0.771478,0.406848,0.364629,0.341509
0.100000,0.787781,0.418159,0.369621,0.349769
