Radius,Qext,Qsca,Qabs,Gsca
0.040000,0.176529,0.033058,0.143470,0.073009
0.041000,0.184452,0.036424,0.148028,0.076735
0.042000,0.192670,0.040029,0.152641,0.080563
0.043000,0.201189,0.043882,0.157307,0.084492
0.044000,0.210018,0.047992,0.162026,0.088527
0.045000,0.219163,0.052366,0.166797,0.092667
0.046000,0.228631,0.057013,0.171618,0.096915
0.047000,0.238427,0.061939,0.176488,0.101273
0.048000,0.248557,0.067152,0.181405,0.105743
0.049000,0.259026,0.072657,0.186368,0.110327
0.050000,0.269837,0.078461,0.191376,0.115029
0.051000,0.280994,0.084568,0.196426,0.119849
0.052000,0.292498,0.090982,0.201516,0.124792
0.053000,0.304352,0.097707,0.206645,0.129859
0.054000,0.316556,0.104746,0.211810,0.135054
0.055000,0.329109,0.112099,0.217010,0.140381
0.056000,0.342011,0.119769,0.222243,0.145841
0.057000,0.355259,0.127754,0.227505,0.151440
0.058000,0.368851,0.136054,0.232797,0.157179
0.059000,0.382783,0.144667,0.238115,0.163063
0.060000,0.397049,0.153590,0.243459,0.169095
0.061000,0.411644,0.162818,0.248826,0.175280
0.062000,0.426563,0.172348,0.254215,0.181620
0.063000,0.441797,0.182171,0.259626,0.188120
0.064000,0.457339,0.192283,0.265056,0.194783
0.065000,0.473180,0.202675,0.270506,0.201614
0.066000,0.489313,0.213338,0.275974,0.208616
0.067000,0.505726,0.224265,0.281462,0.215792
0.068000,0.522412,0.235443,0.286969,0.223147
0.069000,0.539360,0.246864,0.292496,0.230682
0.070000,0.556561,0.258517,0.298044,0.238402
0.071000,0.574005,0.270391,0.303614,0.246309
0.072000,0.591683,0.282474,0.309209,0.254404
0.073000,0.609586,0.294756,0.314830,0.262690
0.074000,0.627707,0.307226,0.320481,0.271167
0.075000,0.646038,0.319874,0.326165,0.279838
0.076000,0.664573,0.332689,0.331884,0.288699
0.077000,0.683306,0.345663,0.337643,0.297751
0.078000,0.702234,0.358787,0.343447,0.306992
0.079000,0.721352,0.372053,0.349299,0.316417
0.080000,0.740661,0.385457,0.355204,0.326021
0.081000,0.760159,0.398993,0.361167,0.335800
0.082000,0.779850,0.412658,0.367192,0.345746
0.083000,0.799735,0.426450,0.373286,0.355848
0.084000,0.819820,0.440369,0.379452,0.366097
0.085000,0.840112,0.454417,0.385695,0.376479
0.086000,0.860615,0.468597,0.392019,0.386980
0.087000,0.881343,0.482914,0.398428,0.397582
0.088000,0.902302,0.497376,0.404926,0.408267
0.089000,0.923506,0.511991,0.411515,0.419015
0.090000,0.944965,0.526769,0.418196,0.429802
0.091000,0.966693,0.541722,0.424971,0.440604
0.092000,0.988701,0.556862,0.431839,0.451393
0.093000,1.011001,0.572203,0.438799,0.462142
0.094000,1.033607,0.587760,0.445847,0.472820
0.095000,1.056527,0.603547,0.452980,0.483396
0.096000,1.079772,0.619581,0.460191,0.493838
0.097000,1.103347,0.635873,0.467473,0.504113
0.098000,1.127257,0.652440,0.474817,0.514189
0.099000,1.151505,0.669293,0.482212,0.524032
0.100000,1.176089,0.686444,0.489645,0.533612
0.101000,1.201003,0.703901,0.497101,0.542896
0.102000,1.226237,0.721671,0.504566,0.551857
0.103000,1.251778,0.739757,0.512021,0.560468
0.104000,1.277606,0.758158,0.519448,0.568705
0.105000,1.303699,0.776872,0.526827,0.576546
0.106000,1.330027,0.795890,0.534137,0.583975
0.107000,1.356556,0.815199,0.541357,0.590977
