Radius,Qext,Qsca,Qabs,Gsca
0.040000,0.061822,0.001679,0.060143,0.016437
0.041000,0.063630,0.001854,0.061776,0.017265
0.042000,0.065460,0.002042,0.063418,0.018114
0.043000,0.067313,0.002243,0.065070,0.018983
0.044000,0.069191,0.002459,0.066732,0.019872
0.045000,0.071093,0.002691,0.068402,0.020781
0.046000,0.073022,0.002939,0.070083,0.021711
0.047000,0.074977,0.003203,0.071774,0.022661
0.048000,0.076960,0.003484,0.073475,0.023631
0.049000,0.078971,0.003784,0.075187,0.024621
0.050000,0.081011,0.004103,0.076909,0.025631
0.051000,0.083082,0.004441,0.078642,0.026662
0.052000,0.085185,0.004800,0.080385,0.027712
0.053000,0.087319,0.005180,0.082139,0.028783
0.054000,0.089486,0.005582,0.083905,0.029875
0.055000,0.091688,0.006006,0.085682,0.030986
0.056000,0.093925,0.006455,0.087470,0.032118
0.057000,0.096197,0.006928,0.089269,0.033270
0.058000,0.098507,0.007427,0.091080,0.034442
0.059000,0.100855,0.007952,0.092903,0.035634
0.060000,0.103241,0.008504,0.094737,0.036847
0.061000,0.105668,0.009084,0.096584,0.038081
0.062000,0.108135,0.009693,0.098442,0.039334
0.063000,0.110644,0.010332,0.100312,0.040609
0.064000,0.113197,0.011002,0.102195,0.041903
0.065000,0.115793,0.011703,0.104090,0.043219
0.066000,0.118434,0.012437,0.105997,0.044555
0.067000,0.121122,0.013205,0.107916,0.045911
0.068000,0.123856,0.014008,0.109848,0.047289
0.069000,0.126638,0.014846,0.111793,0.048687
0.070000,0.129470,0.015720,0.113749,0.050105
0.071000,0.132351,0.016632,0.115719,0.051545
0.072000,0.135283,0.017582,0.117701,0.053006
0.073000,0.138268,0.018572,0.119696,0.054487
0.074000,0.141306,0.019603,0.121703,0.055990
0.075000,0.144397,0.020674,0.123723,0.057514
0.076000,0.147544,0.021788,0.125756,0.059059
0.077000,0.150747,0.022946,0.127801,0.060626
0.078000,0.154007,0.024148,0.129859,0.062214
0.079000,0.157325,0.025395,0.131930,0.063824
0.080000,0.160702,0.026689,0.134013,0.065456
0.081000,0.164139,0.028030,0.136109,0.067109
0.082000,0.167637,0.029419,0.138217,0.068784
0.083000,0.171196,0.030858,0.140338,0.070481
0.084000,0.174819,0.032347,0.142472,0.072200
0.085000,0.178505,0.033887,0.144618,0.073942
0.086000,0.182256,0.035480,0.146776,0.075706
0.087000,0.186072,0.037126,0.148946,0.077493
0.088000,0.189954,0.038825,0.151129,0.079302
0.089000,0.193904,0.040580,0.153324,0.081134
0.090000,0.197922,0.042391,0.155531,0.082990
0.091000,0.202008,0.044258,0.157750,0.084868
0.092000,0.206164,0.046184,0.159980,0.086770
0.093000,0.210390,0.048168,0.162222,0.088696
0.094000,0.214687,0.050211,0.164476,0.090645
0.095000,0.219056,0.052314,0.166741,0.092619
0.096000,0.223497,0.054479,0.169018,0.094616
0.097000,0.228011,0.056706,0.171306,0.096638
0.098000,0.232599,0.058995,0.173605,0.098685
0.099000,0.237261,0.061347,0.175914,0.100756
0.100000,0.241998,0.063764,0.178234,0.102853
0.101000,0.246810,0.066245,0.180565,0.104975
0.102000,0.251698,0.068791,0.182906,0.107122
0.103000,0.256662,0.071404,0.185258,0.109295
0.104000,0.261703,0.074084,0.187619,0.111495
0.105000,0.266820,0.076830,0.189990,0.113720
0.106000,0.272015,0.079644,0.192371,0.115972
0.107000,0.277288,0.082527,0.194761,0.118251
0.108000,0.282638,0.085478,0.197161,0.120557
0.109000,0.288067,0.088498,0.199569,0.122891
0.110000,0.293574,0.091587,0.201986,0.125252
0.111000,0.299159,0.094747,0.204412,0.127642
0.112000,0.304822,0.097976,0.206846,0.130060
0.113000,0.310564,0.101276,0.209288,0.132506
0.114000,0.316385,0.104646,0.211739,0.134982
0.115000,0.322284,0.108087,0.214197,0.137487
0.116000,0.328261,0.111599,0.216662,0.140021
0.117000,0.334317,0.115182,0.219135,0.142586
